family,display_name,node_id,source_url,source_sha256,page_version_badge,inputs,outputs,dynamic_inputs,defaults,animation,arrays_groups,errors,resources,edge_behavior,build_availability,status,prerequisite,fixture
compose,Separate Color,Node_Color_Separate,https://docs.pixel-composer.com/nodes/compose/decompose/color_separate.html,80dba6aa8584f4437dc6ebc42b06d2dd725cadcfdf9f0d728380b7ddcc606f2d,pre 1.18,"[{""type"":""surface"",""name"":""Surface In""},{""type"":""bool"",""name"":""All Colors""},{""type"":""palette"",""name"":""Colors""},{""type"":""bool"",""name"":""Match All""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
compose,Separate,Node_Separate,https://docs.pixel-composer.com/nodes/compose/decompose/separate.html,7c4e42b8c66f5a3de500281ed5e194cacdeac1236581b9342bebe18e40d8f2da,pre 1.18,"[{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Separate Mask""},{""type"":""slider"",""name"":""Threshold""}]","[{""type"":""surface"",""name"":""Surface 0""},{""type"":""surface"",""name"":""Surface 1""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
compose,Separate Shape,Node_Seperate_Shape,https://docs.pixel-composer.com/nodes/compose/decompose/seperate_shape.html,eb088362887394faa0f36dd69ce9b106f860a010039224b675dc927db2d449fe,pre 1.18,"[{""type"":""surface"",""name"":""Shapes Map""},{""type"":""enum"",""name"":""Mode""},{""type"":""slider"",""name"":""Tolerance""},{""type"":""enum"",""name"":""Blank""},{""type"":""int"",""name"":""Expansion""},{""type"":""bool"",""name"":""Diagonal""},{""type"":""surface"",""name"":""Texture""},{""type"":""bool"",""name"":""Override Color""},{""type"":""color"",""name"":""Color""},{""type"":""bool"",""name"":""Crop""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""atlas"",""name"":""Atlas""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
compose,Export,Node_Export,https://docs.pixel-composer.com/nodes/compose/export/export.html,4a32beb1f1c4ae239eedb865cd98faea01121d01ce4de98d13ebfa904490c87a,pre 1.18,"[{""type"":""surface"",""name"":""Surface""},{""type"":""fpath"",""name"":""Directory""},{""type"":""text"",""name"":""File Name""},{""type"":""int"",""name"":""Template Guides""},{""type"":""text"",""name"":""Template""},{""type"":""bool"",""name"":""Export On Save""},{""type"":""bool"",""name"":""Export On Update""},{""type"":""enum"",""name"":""Type""},{""type"":""enum"",""name"":""Format""},{""type"":""bool"",""name"":""Use Built-In Gif Encoder""},{""type"":""int"",""name"":""Quality""},{""type"":""bool"",""name"":""Frame Optimization""},{""type"":""slider"",""name"":""Color Merge""},{""type"":""slider"",""name"":""Quality""},{""type"":""enum"",""name"":""Subformat""},{""type"":""float"",""name"":""Bit Rate (Mbps)""},{""type"":""float"",""name"":""Scale""},{""type"":""bool"",""name"":""Custom Range""},{""type"":""range"",""name"":""Frame Range""},{""type"":""enum"",""name"":""Frame Timing""},{""type"":""float"",""name"":""Framerate""},{""type"":""float"",""name"":""Frame Time (Ms)""},{""type"":""bool"",""name"":""Loop""},{""type"":""int"",""name"":""Sequence Begin""},{""type"":""int"",""name"":""Frame Step""},{""type"":""int"",""name"":""Batch Gif""},{""type"":""bool"",""name"":""Render Region""},{""type"":""text"",""name"":""Export Regions""}]","[{""type"":""surface"",""name"":""Preview""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
compose,Image Grid,Node_Image_Grid,https://docs.pixel-composer.com/nodes/compose/image_grid.html,e985b11467122347815f022bc6a6c7c5c46604d56d7dbb7ae587a2f51db42864,pre 1.18,"[{""type"":""enum"",""name"":""Main Axis""},{""type"":""int"",""name"":""Column""},{""type"":""enum"",""name"":""Origin""},{""type"":""vec2"",""name"":""Spacing""},{""type"":""ipadding"",""name"":""Padding""},{""type"":""bool"",""name"":""Fix Grid""},{""type"":""int"",""name"":""Fix Amount""},{""type"":""vec2"",""name"":""Empty Size""},{""type"":""text"",""name"":""Group""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""atlas"",""name"":""Atlas Data""}]","[{""type"":""surface"",""name"":""Input""}]",unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
compose,Pack Sprites,Node_Pack_Sprites,https://docs.pixel-composer.com/nodes/compose/pack_sprites.html,77b2ffcc9f9b12d8b189cbf02a20c03d8bdd49c9961b02e8ea3aea17ee62679f,pre 1.18,"[{""type"":""surface"",""name"":""Sprites""},{""type"":""enum"",""name"":""Algorithm""},{""type"":""int"",""name"":""Spacing""},{""type"":""int"",""name"":""Max Width""},{""type"":""int"",""name"":""Max Height""}]","[{""type"":""surface"",""name"":""Packed Image""},{""type"":""atlas"",""name"":""Atlas Data""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
compose,Render Spritesheet,Node_Render_Sprite_Sheet,https://docs.pixel-composer.com/nodes/compose/render_sprite_sheet.html,ae848d0e99343ca39fb066cd4670259bb1a514c709de6ee828276980a12d38b2,pre 1.18,"[{""type"":""surface"",""name"":""Sprites""},{""type"":""enum"",""name"":""Sprite Set""},{""type"":""int"",""name"":""Frame Step""},{""type"":""bool"",""name"":""Skip Empty""},{""type"":""enum"",""name"":""Packing Type""},{""type"":""int"",""name"":""Grid Column""},{""type"":""enum"",""name"":""Alignment""},{""type"":""int"",""name"":""Spacing""},{""type"":""vec2"",""name"":""Spacing""},{""type"":""ipadding"",""name"":""Padding""},{""type"":""bool"",""name"":""Custom Range""},{""type"":""range"",""name"":""Range""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""atlas"",""name"":""Atlas Data""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
compose,Stack,Node_Stack,https://docs.pixel-composer.com/nodes/compose/stack.html,558019270223d309496dd51c0fdbd52f531da48144f1eb38fc0bc081560a3dd8,pre 1.18,"[{""type"":""enum"",""name"":""Axis""},{""type"":""enum"",""name"":""Align""},{""type"":""int"",""name"":""Spacing""},{""type"":""ipadding"",""name"":""Padding""},{""type"":""enum"",""name"":""Blend Mode""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""atlas"",""name"":""Atlas Data""}]","[{""type"":""surface"",""name"":""Input""}]",unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
compose,Tag Surface,Node_Surface_Tag,https://docs.pixel-composer.com/nodes/compose/surface_tag.html,63c3a95a63a423b680e0e6b0d1e4bed413f8eb6e093ed075ba52a06518d7a297,pre 1.18,"[{""type"":""surface"",""name"":""Surface In""}]","[{""type"":""dynasurface"",""name"":""Tagged Surface""}]","[{""type"":""text"",""name"":""Tag""},{""type"":""vec2arr"",""name"":""Position""}]",unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
compose,UV Blend,Node_UV_Blend,https://docs.pixel-composer.com/nodes/compose/uv_blend.html,241686edc7b36c588931843f6ae1ead2c5576f1f165ec4d08888a47f89ab170d,pre 1.18,"[{""type"":""surface"",""name"":""Uv Bg""},{""type"":""surface"",""name"":""Uv Fg""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Amount""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
compose,Weld,Node_Weld,https://docs.pixel-composer.com/nodes/compose/weld.html,b176ca49bb188db4f137ba5fe1a63119e507ef503104da220148699a10da57a5,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface 1""},{""type"":""surface"",""name"":""Surface 2""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""float"",""name"":""Radius""},{""type"":""float"",""name"":""Factor""},{""type"":""enum"",""name"":""Weld Color""},{""type"":""enum"",""name"":""Blending""},{""type"":""color"",""name"":""Blend Color""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
feedback,Input,Node_Feedback_Input,https://docs.pixel-composer.com/nodes/feedback/group/feedback_input.html,95ecdd0717381eb3779e4173d57e583c4f2c882bd4e01419aa9b20fcc65f0c19,1.18.0,"[{""type"":""enum"",""name"":""Visible Condition""},{""type"":""float"",""name"":""Visible Check""},{""type"":""float"",""name"":""Visible Check To""},{""type"":""enum"",""name"":""Input Type""},{""type"":""enum"",""name"":""Subtype""},{""type"":""enum"",""name"":""Vector Size""},{""type"":""range"",""name"":""Range""},{""type"":""float"",""name"":""Step""},{""type"":""text"",""name"":""Enum Labels""},{""type"":""text"",""name"":""Button Label""},{""type"":""int"",""name"":""Order""},{""type"":""bool"",""name"":""Display Preview Gizmo""},{""type"":""vec2"",""name"":""Gizmo Position""},{""type"":""float"",""name"":""Gizmo Scale""},{""type"":""rotation"",""name"":""Gizmo Rotation""},{""type"":""bool"",""name"":""Gizmo Label""}]","[{""type"":""any"",""name"":""Value""},{""type"":""node"",""name"":""Feedback Loop""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
feedback,Output,Node_Feedback_Output,https://docs.pixel-composer.com/nodes/feedback/group/feedback_output.html,22248a3133c4a238b45710fa7d76e89f6f80f50d8c9ff33883a39a4d78a07189,1.18.0,"[{""type"":"""",""name"":""Value""},{""type"":"""",""name"":""Feedback Loop""}]",[],[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
feedback,Thumbnail,Node_Group_Thumbnail,https://docs.pixel-composer.com/nodes/feedback/group/group_thumbnail.html,1035e2c7b5ab3d6a3ac0a20ba17baa8a68597ee83f51e0086de0330ef078eb43,pre 1.18,"[{""type"":""surface"",""name"":""Input""}]","[{""type"":""surface"",""name"":""Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Blur,Node_Blur,https://docs.pixel-composer.com/nodes/filter/blur/kernel_based/blur.html,0cc07c4fc24896931f76e82c2776ad9d08187ca0a84c61a0e546dd6a73d5ac5e,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""float"",""name"":""Size""},{""type"":""enum"",""name"":""Intensity""},{""type"":""curve"",""name"":""Intensity Modulation""},{""type"":""bool"",""name"":""Override Color""},{""type"":""color"",""name"":""Color""},{""type"":""bool"",""name"":""Gamma Correction""},{""type"":""slider"",""name"":""Aspect Ratio""},{""type"":""rotation"",""name"":""Direction""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,fractional size 10.34 from one supplied project can sample beyond rounded kernel weights and is explicitly unsupported,unverified: reference executable unavailable,documented and blocked by named prerequisite,"native image.blur graph covers bounded integer Gaussian RGBA8, gamma, override colour and channel; fractional kernel, UV/mapped size/custom intensity/direction/aspect, mask/mix and executable comparison remain","native exact 3x3 impulse, 2x1 mixed colour, gamma/override alpha and graph refusal fixtures; test_imagegraph 124 cases/1248 assertions; pinned MIT source b69eca232217360cf1502ef0223523d818606652"
filter,Box Blur,Node_Blur_Box,https://docs.pixel-composer.com/nodes/filter/blur/kernel_based/blur_box.html,5c98ed37c37cb1ca914c2f3a3ea4b3dda05223ed4f95e0d07eda68a437eee627,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""bool"",""name"":""Separate Axis""},{""type"":""float"",""name"":""Size""},{""type"":""float"",""name"":""Size X""},{""type"":""float"",""name"":""Size Y""},{""type"":""curve"",""name"":""Intensity Modulation""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Contrast Blur,Node_Blur_Contrast,https://docs.pixel-composer.com/nodes/filter/blur/kernel_based/blur_contrast.html,ec3c048a9a490548bd19be141d4d1038e46b3ccc9aa68fd4ac0c5adf2168f7bc,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""float"",""name"":""Size""},{""type"":""slider"",""name"":""Threshold""},{""type"":""bool"",""name"":""Gamma Correction""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Shape Blur,Node_Blur_Shape,https://docs.pixel-composer.com/nodes/filter/blur/kernel_based/blur_shape.html,2b2c20fae77d8620266a6bd19f759e165f7437720721b7624b713fbdc7eee5e6,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""enum"",""name"":""Mode""},{""type"":""surface"",""name"":""Blur Shape""},{""type"":""surface"",""name"":""Blur Mask""},{""type"":""bool"",""name"":""Gamma Correction""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Non-Uniform Blur,Node_Blur_Simple,https://docs.pixel-composer.com/nodes/filter/blur/kernel_based/blur_simple.html,3affefbb5dd04673ef5807a56fa420fc80c039f664c4ce4718affce6e30fd6bc,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""enum"",""name"":""Oversample Mode""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""float"",""name"":""Size""},{""type"":""surface"",""name"":""Blur Mask""},{""type"":""bool"",""name"":""Override Color""},{""type"":""color"",""name"":""Color""},{""type"":""bool"",""name"":""Gamma Correction""},{""type"":""bool"",""name"":""Use Gradient""},{""type"":""gradient"",""name"":""Gradient""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,High Pass,Node_High_Pass,https://docs.pixel-composer.com/nodes/filter/blur/kernel_based/high_pass.html,4eb3948f408f1648147dd62efc97417d66fa308c79f07f5e95868e1eac8e52f7,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""int"",""name"":""Radius""},{""type"":""float"",""name"":""Intensity""},{""type"":""bool"",""name"":""Blend Original""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Directional Blur,Node_Blur_Directional,https://docs.pixel-composer.com/nodes/filter/blur/linear/blur_directional.html,2f0ec955ca24d1fd5864df426d3e72bcd839cff2b223c45e55d7cd23f898990c,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""float"",""name"":""Strength""},{""type"":""rotation"",""name"":""Direction""},{""type"":""bool"",""name"":""Single Direction""},{""type"":""bool"",""name"":""Fade Distance""},{""type"":""slider"",""name"":""Smooth Blur""},{""type"":""enum"",""name"":""Colorize""},{""type"":""gradient"",""name"":""Gradient""},{""type"":""float"",""name"":""Intensity""},{""type"":""float"",""name"":""Scale""},{""type"":""slider"",""name"":""Shift""},{""type"":""float"",""name"":""Resolution""},{""type"":""bool"",""name"":""Gamma Correction""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Path Blur,Node_Blur_Path,https://docs.pixel-composer.com/nodes/filter/blur/linear/blur_path.html,99b3b9e76224f1ae43545fc29f230fe50a074cad48c202ea65a27721ed41dbc1,1.18.0,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""path"",""name"":""Blur Path""},{""type"":""slider"",""name"":""Path Origin""},{""type"":""range"",""name"":""Range""},{""type"":""enum"",""name"":""Mode""},{""type"":""int"",""name"":""Resolution""},{""type"":""anchor"",""name"":""Anchor""},{""type"":""rotRange"",""name"":""Rotation Modulate""},{""type"":""curve"",""name"":""Scale Modulate""},{""type"":""float"",""name"":""Intensity""},{""type"":""gradient"",""name"":""Color""},{""type"":""bool"",""name"":""Inverted""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Radial Blur,Node_Blur_Radial,https://docs.pixel-composer.com/nodes/filter/blur/linear/blur_radial.html,c3bdc4a361e33eaf478c07814a59b2acf8bb9f55d92bb07763a43263b956654e,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""enum"",""name"":""Oversample Mode""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""rotation"",""name"":""Strength""},{""type"":""vec2"",""name"":""Center""},{""type"":""bool"",""name"":""Gamma Correction""},{""type"":""bool"",""name"":""Fade Distance""},{""type"":""enum"",""name"":""Colorize""},{""type"":""gradient"",""name"":""Gradient""},{""type"":""float"",""name"":""Intensity""},{""type"":""float"",""name"":""Scale""},{""type"":""slider"",""name"":""Shift""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Slope Blur,Node_Blur_Slope,https://docs.pixel-composer.com/nodes/filter/blur/linear/blur_slope.html,f9bc0d259eded9a1381e0c239f29020356358ab4cc8a3bfe892bc12bbcd1998a,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""surface"",""name"":""Slope Map""},{""type"":""slider"",""name"":""Strength""},{""type"":""slider"",""name"":""Step""},{""type"":""bool"",""name"":""Gamma Correction""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Zoom Blur,Node_Blur_Zoom,https://docs.pixel-composer.com/nodes/filter/blur/linear/blur_zoom.html,f3b8b46e028fc835186bf2f84bb2f93330bb5fdc8bf3222a2b51688943d4c7e2,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""surface"",""name"":""Blur Mask""},{""type"":""enum"",""name"":""Mode""},{""type"":""enum"",""name"":""Zoom Origin""},{""type"":""float"",""name"":""Strength""},{""type"":""vec2"",""name"":""Center""},{""type"":""enum"",""name"":""Colorize""},{""type"":""gradient"",""name"":""Gradient""},{""type"":""float"",""name"":""Intensity""},{""type"":""float"",""name"":""Scale""},{""type"":""slider"",""name"":""Shift""},{""type"":""enum"",""name"":""Oversample Mode""},{""type"":""int"",""name"":""Samples""},{""type"":""bool"",""name"":""Gamma Correction""},{""type"":""bool"",""name"":""Fade""}]","[{""type"":""surface"",""name"":""Surface Out""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Smear,Node_Smear,https://docs.pixel-composer.com/nodes/filter/blur/linear/smear.html,75397061ff0e5768ae7861f3d44e75f51398718599c6d98f869c20cc21c7d575,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Uv Map""},{""type"":""slider"",""name"":""Uv Mix""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""},{""type"":""enum"",""name"":""Mode""},{""type"":""bool"",""name"":""Invert""},{""type"":""slider"",""name"":""Strength""},{""type"":""rotation"",""name"":""Direction""},{""type"":""slider"",""name"":""Spread""},{""type"":""enum"",""name"":""Modulate Strength""},{""type"":""enum"",""name"":""Render Mode""},{""type"":""enum"",""name"":""Blend Mode""},{""type"":""color"",""name"":""Blend Side""},{""type"":""surface"",""name"":""Texture""},{""type"":""surface"",""name"":""Side Texture""},{""type"":""int"",""name"":""Resolution""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""surface"",""name"":""Depth Pass""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
filter,Average,Node_Average,https://docs.pixel-composer.com/nodes/filter/blur/non_linear/average.html,0d94d0af7e0b46ae2fd23823c293d5e613fb9877ec2cc27654979859a7d2e004,pre 1.18,"[{""type"":""toggle"",""name"":""Channel""},{""type"":""surface"",""name"":""Surface In""},{""type"":""surface"",""name"":""Mask""},{""type"":""slider"",""name"":""Mix""}]","[{""type"":""surface"",""name"":""Surface Out""},{""type"":""color"",""name"":""Color""}]",[],unresolved: documentation tables omit defaults,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unresolved: inspect page and reference build,unverified: reference executable unavailable,documented and blocked by named prerequisite,native imagegraph implementation and documented/media fixture; executable comparison unavailable,unrecorded
